2015-10-12__12_10_40|626|allPlayers11_125__DS62|8|6|901|1091|6|8|(0, 0), (1, 4), (0, 3), (1, 2), (2, 1), (1, 0), (2, 3), (0, 4), (1, 3), (2, 2), (1, 1)|(0, 0), (0, 5), (1, 6), (0, 3), (0, 1), (0, 4), (0, 6), (0, 2)|(0, 0), (0, 1), (1, 2), (1, 0), (0, 2)|(0, 0), (0, 5), (0, 10), (0, 7), (0, 8), (0, 3), (0, 1), (0, 4), (0, 6), (0, 9), (0, 2)|(0, 0), (0, 5), (0, 3), (0, 1), (1, 0), (0, 4), (0, 6), (0, 2)|(0, 0), (0, 3), (0, 1), (1, 0), (0, 2)
2015-10-12__12_10_40|14|allPlayers11_125__DS63|8|7|957|1078|7|8|(0, 0), (1, 4), (0, 3), (1, 2), (2, 1), (1, 0), (2, 3), (0, 4), (1, 3), (2, 2), (1, 1)|(0, 0), (0, 5), (1, 6), (0, 3), (0, 1), (0, 4), (0, 6), (0, 2)|(0, 0), (0, 1), (1, 2), (1, 0), (0, 2)|(0, 0), (5, 0), (9, 0), (1, 0), (3, 0), (7, 0), (10, 0), (6, 0), (8, 0), (2, 0), (4, 0)|(0, 0), (5, 0), (1, 0), (3, 0), (6, 1), (6, 0), (2, 0), (4, 0)|(0, 0), (1, 0), (3, 0), (3, 1), (2, 0)
2015-10-12__12_10_40|393|allPlayers11_125__DS67|9|3|1037|1175|3|9|(0, 0), (5, 0), (5, 4), (1, 0), (3, 0), (5, 2), (5, 5), (5, 1), (2, 0), (4, 0), (5, 3)|(0, 0), (2, 1), (1, 0), (3, 0), (4, 1), (3, 1), (2, 0), (1, 1)|(0, 0), (0, 1), (1, 0), (3, 0), (2, 0)|(0, 0), (5, 0), (9, 0), (1, 0), (3, 0), (7, 0), (10, 0), (6, 0), (8, 0), (2, 0), (4, 0)|(0, 0), (5, 0), (1, 0), (3, 0), (7, 0), (6, 0), (2, 0), (4, 0)|(0, 0), (1, 0), (3, 0), (3, 1), (2, 0)
2015-10-12__12_10_41|1228|allPlayers11_125__DS69|9|5|1031|1172|5|9|(0, 0), (5, 0), (5, 4), (1, 0), (3, 0), (5, 2), (5, 5), (5, 1), (2, 0), (4, 0), (5, 3)|(0, 0), (2, 1), (1, 0), (3, 0), (4, 1), (3, 1), (2, 0), (1, 1)|(0, 0), (1, 0), (3, 0), (2, 0), (4, 0)|(0, 0), (3, 4), (4, 5), (0, 1), (1, 2), (2, 3), (5, 5), (3, 3), (4, 4), (2, 2), (1, 1)|(0, 0), (0, 1), (2, 1), (1, 2), (1, 0), (3, 0), (1, 1), (2, 0)|(0, 0), (0, 1), (1, 0), (1, 1), (2, 0)
2015-10-12__12_10_40|19|allPlayers11_125__DS72|9|8|1003|989|9|8|(0, 0), (5, 0), (5, 4), (1, 0), (3, 0), (5, 2), (5, 5), (5, 1), (2, 0), (4, 0), (5, 3)|(0, 0), (2, 1), (1, 0), (3, 0), (4, 1), (3, 1), (2, 0), (1, 1)|(0, 0), (0, 1), (1, 0), (3, 0), (2, 0)|(0, 0), (1, 4), (0, 3), (1, 2), (2, 1), (1, 0), (2, 3), (0, 4), (1, 3), (2, 2), (1, 1)|(0, 0), (1, 4), (0, 1), (1, 2), (1, 0), (0, 2), (1, 3), (1, 1)|(0, 0), (0, 1), (1, 2), (1, 0), (0, 2)
2015-10-12__12_10_40|1016|allPlayers11_125__DS100|4|5|847|1020|5|4|(0, 0), (3, 2), (0, 3), (0, 1), (1, 0), (2, 3), (3, 0), (0, 2), (1, 3), (3, 3), (2, 0)|(0, 0), (5, 0), (1, 0), (3, 0), (7, 0), (6, 0), (2, 0), (4, 0)|(0, 0), (1, 0), (3, 0), (2, 0), (4, 0)|(0, 0), (3, 4), (4, 5), (0, 1), (1, 2), (2, 3), (5, 5), (3, 3), (4, 4), (2, 2), (1, 1)|(0, 0), (0, 1), (2, 1), (1, 2), (1, 0), (3, 0), (1, 1), (2, 0)|(0, 0), (0, 1), (2, 1), (1, 0), (1, 1)
2015-10-12__12_10_40|18|allPlayers11_125__DS122|7|2|1070|957|7|2|(0, 0), (5, 0), (9, 0), (1, 0), (3, 0), (7, 0), (9, 1), (6, 0), (8, 0), (2, 0), (4, 0)|(0, 0), (5, 0), (1, 0), (3, 0), (6, 1), (6, 0), (2, 0), (4, 0)|(0, 0), (0, 1), (1, 0), (3, 0), (2, 0)|(0, 5), (1, 4), (5, 0), (3, 2), (4, 1), (2, 3), (1, 5), (4, 2), (3, 3), (2, 4), (5, 1)|(0, 0), (3, 4), (0, 1), (1, 2), (2, 3), (3, 3), (2, 2), (1, 1)|(0, 0), (1, 0), (3, 0), (3, 1), (2, 0)
2015-10-12__12_10_40|64|allPlayers11_125__DS123|7|3|1046|1038|7|3|(0, 0), (5, 0), (9, 0), (1, 0), (3, 0), (7, 0), (9, 1), (6, 0), (8, 0), (2, 0), (4, 0)|(0, 0), (5, 0), (1, 0), (3, 0), (6, 0), (5, 1), (2, 0), (4, 0)|(0, 0), (1, 0), (3, 0), (3, 1), (2, 0)|(0, 0), (5, 0), (9, 0), (0, 1), (1, 0), (3, 0), (7, 0), (6, 0), (8, 0), (2, 0), (4, 0)|(0, 0), (5, 0), (1, 0), (3, 0), (6, 0), (3, 1), (2, 0), (4, 0)|(0, 0), (0, 1), (1, 0), (3, 0), (2, 0)
2015-10-12__12_10_40|14|allPlayers11_125__DS124|7|4|1216|1015|7|4|(0, 0), (5, 0), (9, 0), (1, 0), (3, 0), (7, 0), (10, 0), (6, 0), (8, 0), (2, 0), (4, 0)|(0, 0), (5, 0), (1, 0), (3, 0), (6, 0), (5, 1), (2, 0), (4, 0)|(0, 0), (1, 0), (3, 0), (2, 0), (4, 0)|(0, 0), (0, 3), (0, 1), (1, 2), (1, 0), (2, 3), (3, 0), (0, 2), (1, 3), (3, 3), (2, 0)|(0, 0), (0, 3), (0, 1), (1, 2), (1, 0), (0, 2), (1, 3), (1, 1)|(0, 0), (2, 1), (1, 0), (1, 1), (2, 0)
2015-10-12__12_10_40|2702|allPlayers11_125__DS131|8|3|943|1080|3|8|(0, 0), (1, 4), (0, 3), (1, 2), (2, 1), (1, 0), (2, 3), (0, 4), (1, 3), (2, 2), (1, 1)|(0, 0), (0, 5), (0, 3), (0, 1), (0, 4), (1, 5), (0, 6), (0, 2)|(0, 0), (0, 1), (1, 2), (1, 0), (0, 2)|(0, 0), (5, 0), (9, 0), (1, 0), (3, 0), (7, 0), (10, 0), (6, 0), (8, 0), (2, 0), (4, 0)|(0, 0), (5, 0), (1, 0), (3, 0), (6, 1), (6, 0), (2, 0), (4, 0)|(0, 0), (0, 1), (1, 0), (3, 0), (2, 0)
